id,parte,modulo_numero,modulo_titulo,numero,dificuldade,enunciado,codigo_placa,alternativa_correta,comentario,incorreta_1,incorreta_2,incorreta_3,fonte
p1-m1-q1,1,1,"Placas, Cores e Caminhos",1,facil,"Ao ver a placa de “Área Escolar”, o que o motorista deve fazer?",A-33a,Reduzir a velocidade e redobrar a atenção com crianças e pedestres.,A placa alerta o condutor sobre o risco aumentado e exige prudência.,"Seguir na mesma velocidade, já que é uma rua comum.",Buzinar para avisar os pedestres.,Acelerar para passar antes do sinal vermelho.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q2,1,1,"Placas, Cores e Caminhos",2,intermediario,"Ao virar à direita ou à esquerda, qual atitude básica?",,Sinalizar a manobra antes de virar.,"O condutor deve sempre sinalizar a direção antes de virar para avisar os demais usuários da via
e evitar acidentes.",Virar em alta velocidade.,Parar sobre a faixa de pedestres.,Buzinar e entrar sem olhar.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q3,1,1,"Placas, Cores e Caminhos",3,intermediario,"Cruzamento sem semáforo. Você vai virar à esquerda e há pedestres iniciando a
travessia na faixa. Ao mesmo tempo, vem carro no sentido contrário. O que fazer?",,"Parar, ceder passagem aos pedestres e também aos veículos do sentido contrário, só
convertendo quando tudo estiver seguro e sinalizado.","Conforme estabelece o Art. 70 e o Art. 214, inciso IV do CTB, o pedestre que já iniciou a
travessia na faixa tem prioridade absoluta, sendo infração grave não ceder-lhe passagem. Adicionalmente, o
Art. 38, Parágrafo único, estabelece que o condutor que for realizar a manobra de conversão à esquerda deve
ceder passagem aos pedestres e aos veículos que transitam em sentido contrário pela pista.",Virar rápido no espaço entre eles.,Buzinar para todos saírem.,Forçar a entrada com farol alto.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q4,1,1,"Placas, Cores e Caminhos",4,intermediario,"Cruzamento sem sinalização entre uma rodovia e uma via local. Quem tem
preferência?",,Quem trafega pela rodovia.,"Conforme estabelece o art. 29, inciso III, alínea ""a"" do CTB, quando veículos, transitando por
fluxos que se cruzem, se aproximarem de local não sinalizado, terá preferência de passagem, no caso de
apenas um fluxo ser proveniente de rodovia, aquele que estiver circulando por ela.",Quem vem mais rápido pela via local.,Quem buzina.,Quem chega primeiro.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q5,1,1,"Placas, Cores e Caminhos",5,dificil,"Em um cruzamento, se o agente de trânsito ordenar ao condutor que avance, mas o
semáforo estiver vermelho, qual ordem deve ser obedecida?",,"Seguir a ordem do agente, avançando com cuidado.","Conforme estabelece o art. 89, inciso I do CTB, a sinalização de trânsito segue uma ordem de
prevalência hierárquica, sendo que as ordens do agente de trânsito prevalecem sobre as normas de circulação
e outros sinais, incluindo as indicações do semáforo. Portanto, o condutor deve sempre obedecer à orientação
do agente.",Ficar parado por causa do vermelho.,Buzinar e exigir o verde.,Fazer retorno para evitar a ordem.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q6,1,1,"Placas, Cores e Caminhos",6,facil,"Em um cruzamento de área escolar sem semáforo, onde há pedestres esperando para
atravessar, qual é a conduta obrigatória do motorista, conforme o CTB?",,Parar e dar preferência de passagem aos pedestres.,"Conforme estabelece o art. 214, inciso IV do CTB, deixar de dar preferência de passagem a
pedestre ou a ciclista que se encontre na faixa a ele destinada ou que não haja faixa, mas que já tenha iniciado
a travessia é infração gravíssima.",Acelerar e passar antes.,Parar sobre a faixa para mostrar presença.,Buzinar para liberar a passagem.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q7,1,1,"Placas, Cores e Caminhos",7,facil,"Em um cruzamento não sinalizado, qual é a ordem de preferência de passagem entre os
veículos?",,O veículo que vem pela direita.,"Conforme estabelece o Art. 29, inciso III do CTB, a preferência deve seguir uma ordem definida:
primeiro, prevalecem os veículos que se deslocam sobre trilhos (inciso XII); em seguida, nos casos em que
apenas um fluxo for proveniente de rodovia, a preferência é de quem estiver circulando pela rodovia (alínea
'a'); se for uma rotatória, a preferência é de quem estiver circulando por ela (alínea 'b'); e, por fim, quando
nenhuma das regras anteriores se aplicar, a preferência de passagem será do veículo que vier pela direita do
condutor (alínea 'c').",Quem buzina mais.,Quem chegar primeiro e acelerar.,O maior veículo.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q8,1,1,"Placas, Cores e Caminhos",8,facil,"Em cruzamento sem sinalização, quem tem preferência?",,O veículo que vem pela sua direita.,"Conforme estabelece o Art. 29, inciso III do CTB, a preferência deve seguir uma ordem definida:
primeiro, prevalecem os veículos que se deslocam sobre trilhos (inciso XII); em seguida, nos casos em que
apenas um fluxo for proveniente de rodovia, a preferência é de quem estiver circulando pela rodovia (alínea
'a'); se for uma rotatória, a preferência é de quem estiver circulando por ela (alínea 'b'); e, por fim, quando
nenhuma das regras anteriores se aplicar, a preferência de passagem será do veículo que vier pela direita do
condutor (alínea 'c').",O maior veículo sempre.,Quem buzina mais.,Quem vem pela esquerda.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q9,1,1,"Placas, Cores e Caminhos",9,intermediario,"Um condutor que está em uma estrada de terra, em via rural, não vê placa de
sinalização e conduz o veículo com velocidade superior 60 km/h. A ação está correta?",,"Errado. Em estrada (não pavimentada) a máxima é 60 km/h, reduzir ainda mais se houver
poeira, buracos, animais ou pessoas.","Deve reduzir a velocidade por questão de segurança e por ter aderência menor dos pneus em
vias não pavimentada. Art. 61, §1º inciso II, alínea ""c"" do CTB.","Certo, porque não tem fiscalização.","Certo, se não tiver curva.","Certo, se for de dia.",/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q10,1,1,"Placas, Cores e Caminhos",10,dificil,"Em um cruzamento com semáforo apagado, o que fazer?",,Reduzir a velocidade e utilizar a regra da direita,Deve-se aplicar as normas gerais de preferência.,Avançar normalmente.,Parar apenas se quiser.,Acelerar para passar antes.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
